;Transcription_Id;Player_Name;Transcription_Text;Stage_Of_The_Game
22;22;LIAM;LIAM: Hi, I'm Liam O'Brien. I'm playing Vax'ildan. This one's twin. We're half-elven twins. I started playing D&D when I was 13 and I can't believe this is happening. So cheers. Cheers to this.;Pre-Show
23;23;TALIESIN;TALIESIN: My name is Taliesin Jaffe. I'm a voice actor, director, and I've been playing some form of Dungeons & Dragons, and if you can't tell by my black clothing, a lot of Vampire the Masquerade when I was a teenager. There was a problem. I'm playing Percy, the Gunslinger. I'm the reason all the rules are all messed up.;Pre-Show
24;24;MARISHA;MARISHA: I am Keyleth, the druid from the tribe of the Air Ashari. I am a half-elven person.;Pre-Show
25;25;MATT;MATT: No, you're elven.;Pre-Show
26;26;MARISHA;MARISHA: No, half-elf.;Pre-Show
27;27;MATT;MATT: Half-elf. Okay.;Pre-Show
28;28;MARISHA;MARISHA: Yeah, Come on, man. I've been half-elf since day one. Half-elven. Yes! You can see me shooting lightning and turning into awesome animals./;Pre-Show
29;29;MATT;MATT: Orion.;Pre-Show
30;30;ORION and MATT;ORION and MATT: Hi.;Pre-Show
31;31;ORION (Cont'd);ORION (Cont'd): Hey, everybody. I'm Orion Acaba and I'm also a voice actor. I do things.;Pre-Show
32;32;MARISHA;MARISHA: Oh, I'm Marisha Ray, by the way.;Pre-Show
33;33;MARISHA;MARISHA: Did I say that?;Pre-Show
34;34;ORION;ORION: Keyleth is Marisha Ray.;Pre-Show
35;35;MATT;MATT: Let Orion have his moment. Don't try and break–;Pre-Show
36;36;ORION;ORION: No, it's our moment.;Pre-Show
37;37;MATT;MATT: There you go. All right.;Pre-Show
38;38;ORION;ORION: I'm Tiberius the awesome sorcerer.;Pre-Show
39;39;MATT;MATT: Dragonborn sorcerer.;Pre-Show
40;40;ORION;ORION: Dragonborn, yeah! That's right.;Pre-Show
41;41;SAM;SAM: I'm Sam Riegel: a voice actor, and stuff. My character is Scanlan Shorthalt. The gnome bard who sings a lot. Let's start playing, yeah?;Pre-Show
42;42;(cheering);(cheering);Pre-Show
43;43;MATT;MATT: All right! Let's jump on in. Thank you. Last we left off, to give you a little backstory. The party had completed a large venture in saving the nearby city of Emon. One of the central capitals of this human civilization of Tal'Dorei. They managed to halt a demonic insurrection within the throne and as such were greeted to a hero's celebration and had a keep built in their honor. Over the six month period of the keep being constructed, they went their own ways and then returned to see its final creation. However, they did not have a chance to really enjoy it immediately as one of their good friends and allies, Arcanist Allura Vysoren of the Tal'Dorei council came to them requesting their aid saying that a long time friend of hers, Lady Kima of Vord, who is a very well known and very well respected halfling paladin of Bahamut, the Platinum Dragon, had been gone on a pilgrimage for a while, essentially a vision quest that is part of her own development as a paladin. As part of this, she let the information go to Allura that a dark vision had come to her saying that some sort of evil root is beginning to breed beneath Kraghammer and the mountains within Kraghammer, which is the nearby dwarven civilization that you guys have previously not been allowed entry to because the dwarves weren't fans of nobody without any political means of entry. However, she managed to acquire the necessary documentation and offered you a very substantial reward should you find the whereabouts of Lady Kima of Vord and hopefully bring her back safely. You left on the pathway to the dwarven citadel of Kraghammer. You were ambushed by a group of roaming barbarian goliaths. Part way through the battle, Grog managed to recognize one of them as a previous ally and no longer an ally at this time.;Part I
44;44;TRAVIS;TRAVIS: Son of a bitch.;Part I
45;45;MATT;MATT: Yep, the barbarian for his first and only time so far managed to avert battle through a social encounter and rolled pretty damn well on a persuasion check. So you got one. You get one. You got your one. Never again.;Part I
46;46;TRAVIS;TRAVIS: Next time he dies.;Part I
47;47;MATT;MATT: Yeah. Essentially. Which managed to not turn it into complete bloodshed. You continued on your way to Kraghammer, presented your paperwork, were given entry into the city and that is where we begin this adventure.;Part I
48;48;LAURA;LAURA: Oh no.;Part I
49;49;SAM;SAM: In the city of Kraghammer?;Part I
50;50;MATT;MATT: In the city of Kraghammer.;Part I
51;51;SAM;SAM: Wow! This is fantastic.;Part I
52;52;TRAVIS;TRAVIS: We're in, right?;Part I
53;53;MARISHA;MARISHA: Yes. We were at the door. We were talking to someone right?;Part I
54;54;MATT;MATT: Yeah, you were talking to the front guards at the gate of Kraghammer. They have begrudgingly let you inside. Giving you a couple of pointers little prods and sent you into the city proper. You made your way through the darkened alleyways and stone carved tunnel that leads into the main, central portion of the city proper. An enormous underground metropolis sprawls out before you. The dark earth and shadows creating beautiful stone work, marble columns, archways, and labyrinthine bridges climbing across the vertical cityscape. All warmed with the red glow of some strange, crimson rock peppered throughout the town as a light source. A large metal forge envelops the center of this cylindrical city. The entire is a three-tiered cylindrical city that is built into the ground of the mountain itself. Welcome to Kraghammer!;Part I
55;55;LIAM;LIAM: Remind us. Did we bullshit our way in here, or did–;Part I
56;56;LAURA;LAURA: No, we had a way in.;Part I
57;57;MATT;MATT: No, Allura got your paperwork so you were actually able to get in this time.;Part I
58;58;LAURA;LAURA: But, Ashley speaks Dwarvish. Pike speaks–;Part I
59;59;MATT;MATT: Pike speaks Dwarvish and she's not here.;Part I
60;60;ORION;ORION: I speak Dwarvish as well!;Part I
61;61;LAURA;LAURA: Oh good!;Part I
62;62;ORION;ORION: I do.;Part I
63;63;SAM;SAM: That's fantastic.;Part I
64;64;MATT;MATT: The only other bit of information you have about the whereabouts of her is that she came here to go into the mine Apparently, a mithral mine where this evil is supposedly brewing. You heard that the one person who owns the biggest part of the mithral market here cornering, his name was the dwarven Lord Nostoc Greyspine. That was the only name you had in regards to this deep earth quarry.;Part I
65;65;SAM;SAM: Greyspine?;Part I
66;66;MATT;MATT: Greyspine, correct.;Part I
67;67;SAM;SAM: We have to go find him, don't we?;Part I
68;68;TALIESIN;TALIESIN: I think before we do anything we should find a place to sleep.;Part I
69;69;ORION;ORION: That's true!;Part I
70;70;TRAVIS;TRAVIS: Oh! We're all jacked up from before, right?;Part I
71;71;TALIESIN;TALIESIN: Wouldn't it be nice to put everything down for a little while.;Part I
72;72;SAM;SAM: Of course. I've got a lot of booty that I need to stow.;Part I
73;73;ORION;ORION: Good way to phrase that, Scanlan. Also, I would like to check out any places where they might have enchanted libraries or what not.;Part I
74;74;SAM;SAM: Can you stick with us? You're the only one that speaks Dwarvish.;Part I
75;75;LIAM;LIAM: Yes, you're getting ahead of yourself.;Part I
76;76;ORION;ORION: I'm just saying put it on the list.;Part I
77;77;LIAM;LIAM: Let's look around. Are there any dwarves in the vicinity?;Part I
78;78;MATT;MATT: Oh, there are many! As you finish this conversation you look about there are two guards posted nearby wearing dark crimson and brass chest plates that have a uniform scar carved across the front. It's actually built into the armor itself as a design. They're both staring awkwardly at all of you arguing in the middle of this entry thoroughfare of Kraghammer.;Part I
79;79;LIAM;LIAM: Tiberius, make with the dwarf-talk, please.;Part I
80;80;ORION;ORION: Hello, friends. My associates and I were looking for a place of lodging for the night and a place of reputable reputation.;Part I
81;81;MATT;MATT: One dwarf shouts over to another one, “You hear that, Jepson?! They're looking for a place to “stay.” “Aye, I heard that right. It's about time we had some new folk in town. Well, if you're 'looking for a place to stay' I'd say your best bet would be the Pig Pits.”;Part I
82;82;SAM;SAM: Is that the name of a place?;Part I
83;83;MATT;MATT: “Yes! Certainly! The Pig Pits.”;Part I
84;84;SAM;SAM: All right.;Part I
85;85;MATT;MATT: “Ask for the Pig Pits–”;Part I
86;86;LAURA;LAURA: Those are actually pig pits, isn't it?;Part I
87;87;MARISHA;MARISHA: I feel like we're being hazed.;Part I
88;88;MATT;MATT: “What?! No! Not at all.”;Part I
89;89;TRAVIS;TRAVIS: That sounds fine with me.;Part I
90;90;LIAM;LIAM: This is Common?;Part I
91;91;MATT;MATT: This is all in Common, yeah.;Part I
92;92;SAM;SAM: Which way to the Pig Pits, sir?;Part I
93;93;MATT;MATT: “Pig Pits are that way.” He points over the edge and you see down past the central forge structure in the city to the very bottom nearby a large temple that envelops the bottom floor of Kraghammer proper there is indeed a distant slop of mud where internal livestock are being kept.;Part I
94;94;LAURA;LAURA: I bring out a piece of gold. Please, sir, we're looking for a place to stay that isn't covered in mud.;Part I
95;95;MATT;MATT: “It's good to see that at least one of you speaks Dwarvish.” Takes the coin, kinks it in his teeth and goes, “All right, now if you're looking for a proper place to stay you're going to look for the Iron Hearth Tavern. That is to your left up that way no more than a half mile. Keep an eye out. Listen for the laughter and the people who are very drunk. That's your best bet.”;Part I
96;96;LAURA;LAURA: Thank you, sir.;Part I
97;97;MATT;MATT: “No worries.”;Part I
98;98;LAURA;LAURA: I like your armor by the way.;Part I
99;99;MATT;MATT: “Well, thank you kindly.”;Part I
100;100;TRAVIS;TRAVIS: Was that a wink?;Part I
101;101;LAURA;LAURA: It was.;Part I
102;102;LIAM;LIAM: That's all she does.;Part I
103;103;LAURA;LAURA: That's all I do is wink at people.;Part I
104;104;LIAM;LIAM: It's a nervous tic, really.;Part I
105;105;MATT;MATT: It's a feat she took. You progress to the western side of the Kraghammer rotation as you curl around the central platform. Making your way eventually to the outside of this rather large, central tavern inn. As you walk in, you can hear music playing, you can hear laughter and boastful cheer, you can hear some arguments in the distance. You can hear it from a good two or three buildings away. This is definitely a central social environment here in Kraghammer. As you walk inside, you– Let me get some proper tavern music here for you.;Part I
106;106;SAM;SAM: Smells in here.;Part I
107;107;TRAVIS;TRAVIS: Drinking territory.;Part I
108;108;MATT;MATT: You hear some loud boisterous (hearty dwarven laughter), some drinks being clinked together. As you walk in, the first thing that catches you is the scent of stale alcohol and smoked wood of some kind.;Part I
109;109;MATT;MATT: There are tables, most of them in decent condition, some of them half-broken and repaired, probably from some previous encounter in the bar. In the center of the room, there looks to be a not currently in use, specifically built brawling circle. It's about 30 feet by 20 feet. It's more of an oval. It's not in use, currently.;Part I
110;110;SAM;SAM: An octagon?;Part I
111;111;MATT;MATT: Essentially.;Part I
112;112;LIAM;LIAM: How high is the ceiling here? Can Grog fit in here?;Part I
113;113;TRAVIS;TRAVIS: Oh right, am I like–?;Part I
114;114;MATT;MATT: The ceiling actually is considered vaulted ceiling for dwarves so it runs at about seven feet. For Grog, it's uncomfortable, almost scratching your head across the top. As you enter, about seven or eight of the nearby dwarves at the front door go, (hearty laughter). They look immediately at the ragtag non-dwarven group that just stumbled into the center of the tavern.;Part I
115;115;TRAVIS;TRAVIS: What're you looking at?;Part I
116;116;MATT;"MATT: “It's not very often we get someone with that kind of a mug on you. Let me buy you a drink, come ""sit down!”";Part I
117;117;TRAVIS;TRAVIS: My kind of people, see you later! I go grab the drink with the lovely dwarves.;Part I
118;118;LAURA;LAURA: We grab a table next to the dwarves with Grog.;Part I
119;119;MATT;MATT: Both tables next to the table they're at are completely filled with dwarves.;Part I
120;120;LIAM;LIAM: I take a sack of gold out of my own pocket, slam it down on the table–;Part I
121;121;LAURA;LAURA: A sack of gold, are you crazy?!;Part I
122;122;LIAM;LIAM: Gentlemens and ladies. Ladies and gentlemen, we are traveling from far away. We just arrived from Emon. We are fascinated to see your underground city and to celebrate the occasion I would like to buy every dwarf in here a round. Bartender!;Part I
123;123;MATT;MATT: The music stops. The conversation stops. All dwarven eyes turn to the table and they all turn to a single dwarven woman in the back who's behind one of the bars, who has a towel over one arm. She's looking around, she's staring confused at you and all eyes are on her, and she goes, “Well, it's about time someone around here had some generosity! Certainly, pay upfront. Drinks all around on this half-elven gentleman.”;Part I
124;124;LIAM;LIAM: Let it rain!;Part I
125;125;MARISHA;MARISHA: Make it rain.;Part I
126;126;TRAVIS;TRAVIS: I would like a cask of ale.;Part I
127;127;LIAM;LIAM: I'll need your largest bowl of ale for this one here.;Part I
128;128;TRAVIS;TRAVIS: Cask. Cask of ale. Cask.;Part I
129;129;MATT;MATT: “No worries, Adra's got your back, be right back.” She wanders off to the back room, comes back and starts pouring stein after stein after stein of ale.;Part I
130;130;TRAVIS;TRAVIS: Yeah. Keep going. Looks good.;Part I
131;131;MATT;MATT: You do notice she is definitely the head of this tavern and all of her barkeeps are male and seem to be worked rather ragged.;Part I
132;132;LAURA;LAURA: What was her name?;Part I
133;133;SAM;SAM: Excuse me, miss. You.;Part I
134;134;MATT;MATT: “Adra. Yeah?”;Part I
135;135;SAM;SAM: I'm sorry?;Part I
136;136;MATT;MATT: “Adra.”;Part I
137;137;SAM;SAM: Adra! You run a fantastic establishment.;Part I
138;138;MATT;MATT: “That's right I do!”;Part I
139;139;SAM;SAM: Thank you for welcoming us and allowing us to buy this round.;Part I
140;140;MATT;MATT: “Of course. Patrons that come and drop coin like that are welcome any time.”;Part I
141;141;SAM;SAM: Well, thank you for your hospitality. Might we inquire about staying here the night? Do you have an inn with the establishment?;Part I
142;142;MATT;"MATT: She reaches below and pulls out a big tome and starts thumbing through it. “You know, ""actually we have openings right now on the second floor.”";Part I
143;143;SAM;SAM: Several rooms, or just one?;Part I
144;144;MATT;MATT: “Do you need them side by side?”;Part I
145;145;SAM;SAM: That would be nice.;Part I
146;146;MATT;MATT: “We could pull him there and push him into room seven.”;Part I
147;147;SAM;SAM: Something with a little bed for me.;Part I
148;148;MATT;MATT: “Giles!” One of the dwarf barmaiders comes over. “Aye?” “Get Stepheson out of his room, move him to the third floor. We have to open a block for our new guests.” “Ugh, fine.” The older dwarf stumbles his way up the stairs begrudgingly. “Right, so I can get a room for each of you. We're looking at eight rooms separately, that will run you per evening about 25 gold pieces. Does that sound about right?”;Part I
149;149;TRAVIS;TRAVIS: Total?;Part I
150;150;MATT;MATT: “25 total pieces.”;Part I
151;151;LAURA;LAURA: You want to share a room?;Part I
152;152;MARISHA;MARISHA: Yeah! We'll bunk up.;Part I
153;153;SAM;SAM: Grog, you and me. I can sleep on your feet.;Part I
154;154;LAURA;LAURA: Probably like 15 gold then for just that amount.;Part I
155;155;MATT;MATT: She visibly deflates a little bit and is like, “All right, fair enough. Five rooms it is. 15 gold per room.”;Part I
156;156;SAM;SAM: We're penny pinchers.;Part I
157;157;MATT;MATT: “How long do you expect to stay?”;Part I
158;158;ORION;ORION: At least a few days.;Part I
159;159;SAM;SAM: I'd say a week.;Part I
160;160;TALIESIN;TALIESIN: With an indefinite hold, we have business in the city.;Part I
161;161;MATT;MATT: “Right! Well how bout we pay the week in advance and I'll give you a discount?”;Part I
162;162;LAURA;LAURA: What's the discount?;Part I
163;163;MARISHA;MARISHA: Wait. I thought we were going to be heading south?;Part I
164;164;MATT;MATT: “Let's say, 100 gold for the week, all five rooms.”;Part I
165;165;LIAM;LIAM: We're pretty flush, I think we can handle it.;Part I
166;166;LAURA;LAURA: Yes. That works.;Part I
167;167;TALIESIN;TALIESIN: This doesn't terrify me.;Part I
168;168;LAURA;LAURA: I think I did the math wrong.;Part I
169;169;TRAVIS;TRAVIS: I was told there would be no math.;Part I
170;170;SAM;SAM: Sounds good!;Part I
171;171;LAURA;LAURA: Gah! I hate not having a calculator! Fine!;Part I
172;172;MATT;MATT: “Ah! Great!” She pulls back and pulls some keys out and hands them to the rest of you. Hands you some paperwork, shows you which rooms are yours and says, “You're welcome to stay all you like, ask questions, hang about. Just make sure you don't do anything stupid near the Carvers.”;Part I
173;173;ORION;ORION: Ooh! Like what? I do things like that all the time!;Part I
174;174;LIAM;LIAM: Sorry. Our Dwarvish is a little thick. Near the–?;Part I
175;175;MATT;MATT: “The Carvers, the Carvers!”;Part I
176;176;LAURA;LAURA: The carvas. Of course.;Part I
177;177;MATT;MATT: “The Carvers!”;Part I
178;178;ORION;ORION: The Converse! Of course!;Part I
179;179;SAM;SAM: The Car Verse?;Part I
180;180;MATT;MATT: “Is this your first time in Kraghammer?”;Part I
181;181;ALL;ALL: Yes!;Part I
182;182;MATT;MATT: “The Carvers are the guard that run this city. They're the ones that keep the law.”;Part I
183;183;LAURA;LAURA: The scar!;Part I
184;184;MATT;MATT: “Yes, the armor, the Carvers!”;Part I
185;185;TRAVIS;TRAVIS: Yeah, what is with the scar? I've got one myself.;Part I
186;186;MATT;MATT: She leans back and as you reveal the rather gnarled scar on your chest. She reels back a bit and two of the nearby dwarves go, “Yeah!” They chug down their drinks.;Part I
187;187;TRAVIS;TRAVIS: Yeah! More drinking!;Part I
188;188;MATT;MATT: They start showing their scars and are like, “Oh no! I got this one from an iron bolt!” They start talking about different creatures they fought. “All right. Well, the Carvers are a bit of a– how do I put it? A military class in this city. They run a very tight ship on the streets, so be careful.”;Part I
189;189;TALIESIN;TALIESIN: That shouldn't be a problem. Mostly we are looking for Lord Greyspine, if I recall. We have business with him.;Part I
190;190;LAURA;LAURA: We might have business with you, if you've seen a halfling come through.;Part I
191;191;MATT;"MATT: She thinks to herself and goes, “There was a halfling woman, but she was staying at the ""Firebrook Inn.”";Part I
192;192;LAURA;LAURA: The Firebrook.;Part I
193;193;MATT;MATT: “The bottom floor, for a couple of weeks. There was talk about her. She got in a few fights herself. The one with the silver armor? That one? Yeah, she was a firebrand if ever I saw one. Right up my alley, I like that one.”;Part I
194;194;TALIESIN;TALIESIN: How long ago would you say this was?;Part I
195;195;MATT;MATT: “Oh, she went through a few weeks. I haven't seen her recently.”;Part I
196;196;TALIESIN;TALIESIN: Thank you. Perfect.;Part I
197;197;TRAVIS;TRAVIS: Is there a champion of the circle of fighting in the tavern? Is there a reigning–;Part I
198;198;SAM;SAM: Already, Grog?!;Part I
199;199;TRAVIS;TRAVIS: Well, I have to know these things!;Part I
200;200;TALIESIN;TALIESIN: He has to do something.;Part I
201;201;MATT;MATT: She turns the barrel that she has on the table towards you a little bit and you can see the actual symbol, this burned image on the side that says, “Balgus Brewery.” She goes, “That'll be Balgus. The one that supplies us with what you're drinking. He's the undefeated champion. But I don't think he's quite right to fight at the moment.” She points towards the very edge of the bar and you see one older grizzled dwarf, long gray hair pulled into straight braids in the back, big bushy beard that's all shoved up into his face because he's asleep, drunk as a skunk, on the edge of the bar.;Part I
202;202;TRAVIS;TRAVIS: My type of dwarf. Maybe we'll can use him as a merc later or something. All right, another time then.;Part I
203;203;SAM;SAM: Another time.;Part I
204;204;LIAM;LIAM: Save it for a rainy day.;Part I
205;205;TRAVIS;TRAVIS: Does it rain down here?;Part I
206;206;TALIESIN;TALIESIN: I don't think they have rainy days.;Part I
207;207;MATT;MATT: “You said Greyspine?”;Part I
208;208;LAURA;LAURA: Yes, Greyspine.;Part I
209;209;TALIESIN;TALIESIN: We are looking to set up a meeting.;Part I
210;210;MATT;MATT: “Which Greyspine?”;Part I
211;211;SAM;SAM: Nostoc?;Part I
212;212;MATT;MATT: “Nostoc Greyspine. He's definitely a business type one.”;Part I
213;213;ORION;ORION: Well who's the friendlier Greypsine?;Part I
214;214;MATT;MATT: “The friendlier of the types would probably be the head of House Greyspine.”;Part I
215;215;MARISHA;MARISHA: Wait, how many Greyspines are there?;Part I
216;216;MATT;MATT: “Oh, well there's probably several at this point, I've lost track. The family line's been going for a while. However, of House Greyspine currently, Ironkeeper Gradim Greyspine is the head of this entire city. Voted in ten years ago, actually. He's head of the council.”;Part I
217;217;MARISHA;MARISHA: Ironkeeper what?;Part I
218;218;MATT;MATT: “Ironkeeper Gradim Greypsine. Gradim! You're– (sigh) These commoners. Learn to speak the language!”;Part I
219;219;ORION;ORION: I understood!;Part I
220;220;LIAM;LIAM: Adra, may I ask, obviously we have no dwarves in our little party.;Part I
221;221;MATT;MATT: “Unfortunately.”;Part I
222;222;LAURA;LAURA: Unfortunately for us.;Part I
223;223;LIAM;LIAM: Sorry, about that. You're very welcoming. We appreciate that. How welcoming would you say the city is to outsiders? Would we stick out like a sore thumb?;Part I
224;224;MATT;MATT: “Probably. As long as you don't do anything stupid. As long as you keep the coin flowing, and as long as you stay to the upper levels. The lower levels you get to more of the business: the miners, the forges, the foundries. When you get to the business areas, that's where the guard gets heavier and that's where folks don't like you poking near their money.”;Part I
225;225;SAM;SAM: So the lower levels would have the mithral mines?;Part I
226;226;MATT;MATT: “The mithral mine, aye.”;Part I
227;227;SAM;SAM: There's one?;Part I
228;228;MATT;MATT: “There is one now. It's all been, and has been for quite some time, completely helmed up and run by House Greypsine. The Keystone Quarry is what you're looking for.”;Part I
229;229;LIAM;LIAM: We're not really interested in that. We just want to see the city. Our business is elsewhere.;Part I
230;230;MATT;MATT: “Yeah, I would not recommend it. Not without proper business credentials on that. You'll end up being questioned very heavily.”;Part I
231;231;LIAM;LIAM: Sounds like a dirty business, anyway.;Part I
232;232;LAURA;LAURA: Right.;Part I
233;233;TRAVIS;TRAVIS: Yeah, you want to stay away from those miners Scanlan, that's a dirty business.;Part I
234;234;MATT;MATT: She gives you a look almost like it was a slightly racist statement, but then passes it off because you paid her a lot of coin today.;Part I
235;235;MARISHA;MARISHA: So racist.;Part I
236;236;LAURA;LAURA: So No-stock. Nostoc?;Part I
237;237;LIAM;LIAM: Nostoc.;Part I
238;238;LAURA;LAURA: Nostoc Greyspine.;Part I
239;239;MATT;MATT: “Yes.”;Part I
240;240;LAURA;LAURA: You said that he's kind of a–?;Part I
241;241;MATT;MATT: “Oh, there's a reason he's the one put in charge of the mines and the businesses and the foundries.”;Part I
242;242;LAURA;LAURA: Oh. Where is he located, exactly?;Part I
243;243;MATT;MATT: “Well, if he's not home at the actual Greyspine Manor– which is a sprawling house. It contains all the ones who live there.”;Part I
244;244;TRAVIS;TRAVIS: We're going there!;Part I
245;245;MATT;MATT: “He's probably down at the actual–” What is it? Pardon. Bear with me. Consult my notes! “He's probably down by the Greyspine quarry itself, keeping an eye on the business there.” There's a nearby dwarf having a few drinks, goes, “Ah, Greyspine, there's been troubles round there! Apparently, a friend of mine works there. Got a big, nasty scar last week. Wouldn't even pay him for his time off to heal. It's bullshit!” He slams his drink down on the table.;Part I
246;246;SAM;SAM: Down at the quarry?;Part I
247;247;MATT;MATT: “Aye.”;Part I
248;248;MARISHA;MARISHA: How did your friend get this nasty cut?;Part I
249;249;MATT;MATT: “He works there! Said there was things pouring out of the caves. Goblins and the like!”;Part I
250;250;LAURA and SAM;LAURA and SAM: Goblins?;Part I
251;251;MATT;MATT: “Ah, goblins are nothing.”;Part I
252;252;MATT;MATT: “Seems there's something other than goblins poking out through this hole. Just saying, that business is in for a serious problem if it doesn't change.”;Part I
253;253;LAURA;LAURA: Does your friend ever have drinks here? “No. He's been sober for two years. We're not friends anymore.” Tugs on his beard a little bit.;Part I
254;254;MARISHA;MARISHA: Oh. I'm sorry. I think.;Part I
255;255;SAM;SAM: A lot to process.;Part I
256;256;MATT;MATT: He pours another drink. At which point, Adra slaps his hand and says, “Pay that. He bought one round!” He finishes his drink and walks away.;Part I
257;257;ORION;ORION: Excuse me, one thing, Adra, are there any mystics in this particular town that study any arcane arts?;Part I
258;258;MATT;MATT: “Of course! What, you think dwarves are just the baseline folks who brawl each other?”;Part I
259;259;MARISHA;MARISHA: So many racist comments. Jeez!;Part I
260;260;MATT;MATT: “What you're looking for is House Thunderbrand. They are the ones who, by blood, have the arcane arts in their family line.”;Part I
261;261;ORION;ORION: Interesting.;Part I
262;262;MATT;MATT: “They run most of the enchantment process in the city, they also train– they call it train– some of us call it more 'indoctrination.' But, they're definitely the focus of all arcane arts here in Kraghammer.”;Part I
263;263;ORION;ORION: Thank you.;Part I
264;264;SAM;SAM: Thank you for your time, Adra. Carry on with your evening. We'll seek you out if we have any more questions.;Part I
265;265;MATT;MATT: “Certainly. Now if you don't mind,” She scoots you aside, and you see a line, a queue of dwarves behind her, with their empty cups, waiting to get to her to fill up the drinks that you bought.;Part I
266;266;MARISHA;MARISHA: Oh, that's– we did promise that.;Part I
267;267;LIAM;LIAM: Enjoy, gentlemen! And lady.;Part I
268;268;LAURA;LAURA: What time of day is it?;Part I
